date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:08:13	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://vms-6511.github.io/robots.txt		(from )
00:08:13	11618/11618	---M-Z	200	added ('OK')	text/html	etag:W/%226322732c-2d62%22	https://vms-6511.github.io/	C:/My%20Web%20Sites/Feras%20Maqableh/vms-6511.github.io/index.html	(from )
00:08:14	159515/159515	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:09%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	C:/My%20Web%20Sites/Feras%20Maqableh/stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	(from https://vms-6511.github.io/)
00:08:15	277052/277052	---M-Z	200	added ('OK')	text/css	etag:%225eb03f1e-43a3c%22	https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/css/mdb.min.css	C:/My%20Web%20Sites/Feras%20Maqableh/cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/css/mdb.min.css	(from https://vms-6511.github.io/)
00:08:15	58578/58578	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-e4d2%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.13.0/css/all.min.css	C:/My%20Web%20Sites/Feras%20Maqableh/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.13.0/css/all.min.css	(from https://vms-6511.github.io/)
00:08:15	4664/4664	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf4-1238%22	https://cdnjs.cloudflare.com/ajax/libs/academicons/1.8.6/css/academicons.min.css	C:/My%20Web%20Sites/Feras%20Maqableh/cdnjs.cloudflare.com/ajax/libs/academicons/1.8.6/css/academicons.min.css	(from https://vms-6511.github.io/)
00:08:16	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://vms-6511.github.io/assets/img/favicon.ico	C:/My%20Web%20Sites/Feras%20Maqableh/vms-6511.github.io/assets/img/favicon.ico	(from https://vms-6511.github.io/)
00:08:16	6411/6411	---M-Z	200	added ('OK')	text/css	etag:W/%226322732c-190b%22	https://vms-6511.github.io/assets/css/main.css	C:/My%20Web%20Sites/Feras%20Maqableh/vms-6511.github.io/assets/css/main.css	(from https://vms-6511.github.io/)
00:08:17	45310/45310	---M--	200	added ('OK')	application/pdf	etag:%226322732c-b0fe%22	https://vms-6511.github.io/assets/pdf/VMS_CV.pdf	C:/My%20Web%20Sites/Feras%20Maqableh/vms-6511.github.io/assets/pdf/VMS_CV.pdf	(from https://vms-6511.github.io/)
00:08:17	9825/9825	---M-Z	200	added ('OK')	text/html	etag:W/%226322732c-2661%22	https://vms-6511.github.io/publications/	C:/My%20Web%20Sites/Feras%20Maqableh/vms-6511.github.io/publications/index.html	(from https://vms-6511.github.io/)
